AL	0
AK	0
AZ	13
AR	1
CA	8
CO	3
CT	8
DE	10
FL	12
GA	6
HI	0
ID	5
IL	2
IN	39
IA	9
KS	11
KY	18
LA	17
ME	0
MD	2
MA	6
MI	3
MN	22
MS	0
MO	31
MT	4
NE	10
NV	0
NH	11
NJ	8
NM	5
NY	8
NC	5
ND	0
OH	3
OK	4
OR	5
PA	18
RI	8
SC	6
SD	3
TN	6
TX	2
UT	0
VT	0
VA	1
WA	1
WV	8
WI	16
WY	0
